Date,Address
2018-01-01,966701
2018-01-02,1142465
2018-01-03,1132590
2018-01-04,1253391
2018-01-05,1068521
2018-01-06,1171151
2018-01-07,1127763
2018-01-08,1158246
2018-01-09,1150316
2018-01-10,1125366
2018-01-11,1223960
2018-01-12,1152553
2018-01-13,943063
2018-01-14,967573
2018-01-15,952991
2018-01-16,999056
2018-01-17,1090512
2018-01-18,1053517
2018-01-19,1027739
2018-01-20,973522
2018-01-21,985139
2018-01-22,944978
2018-01-23,900239
2018-01-24,944565
2018-01-25,841497
2018-01-26,807944
2018-01-27,870574
2018-01-28,768035
2018-01-29,778138
2018-01-30,838805
2018-01-31,676270
2018-02-01,842398
2018-02-02,854253
2018-02-03,714655
2018-02-04,720904
2018-02-05,903239
2018-02-06,999110
2018-02-07,814500
2018-02-08,746341
2018-02-09,775346
2018-02-10,741833
2018-02-11,818411
2018-02-12,914734
2018-02-13,852822
2018-02-14,937579
2018-02-15,788513
2018-02-16,773217
2018-02-17,770441
2018-02-18,730164
2018-02-19,849880
2018-02-20,714634
2018-02-21,705377
2018-02-22,713584
2018-02-23,739558
2018-02-24,704052
2018-02-25,528643
2018-02-26,669611
2018-02-27,713393
2018-02-28,806090
2018-03-01,819973
2018-03-02,749016
2018-03-03,930019
2018-03-04,802165
2018-03-05,850558
2018-03-06,836883
2018-03-07,917543
2018-03-08,915691
2018-03-09,881619
2018-03-10,810961
2018-03-11,884558
2018-03-12,844766
2018-03-13,764096
2018-03-14,574881
2018-03-15,617134
2018-03-16,593929
2018-03-17,460732
2018-03-18,534900
2018-03-19,582453
2018-03-20,568358
2018-03-21,573430
2018-03-22,595109
2018-03-23,624132
2018-03-24,538024
2018-03-25,442835
2018-03-26,584451
2018-03-27,602492
2018-03-28,543729
2018-03-29,565338
2018-03-30,570293
2018-03-31,479741
2018-04-01,423275
2018-04-02,494663
2018-04-03,594093
2018-04-04,567822
2018-04-05,536152
2018-04-06,640370
2018-04-07,499520
2018-04-08,404612
2018-04-09,543827
2018-04-10,565720
2018-04-11,539435
2018-04-12,617401
2018-04-13,646928
2018-04-14,493652
2018-04-15,587008
2018-04-16,738311
2018-04-17,608580
2018-04-18,589411
2018-04-19,644586
2018-04-20,653011
2018-04-21,620004
2018-04-22,509549
2018-04-23,642648
2018-04-24,774308
2018-04-25,688526
2018-04-26,660410
2018-04-27,675792
2018-04-28,562244
2018-04-29,541887
2018-04-30,642123
2018-05-01,632638
2018-05-02,683381
2018-05-03,663164
2018-05-04,695589
2018-05-05,625684
2018-05-06,533400
2018-05-07,660188
2018-05-08,664930
2018-05-09,612043
2018-05-10,617381
2018-05-11,758779
2018-05-12,588527
2018-05-13,483616
2018-05-14,636140
2018-05-15,640168
2018-05-16,604416
2018-05-17,629495
2018-05-18,703262
2018-05-19,514447
2018-05-20,475729
2018-05-21,622910
2018-05-22,588204
2018-05-23,640753
2018-05-24,569796
2018-05-25,618168
2018-05-26,467745
2018-05-27,442455
2018-05-28,589209
2018-05-29,604750
2018-05-30,592855
2018-05-31,627718
2018-06-01,692408
2018-06-02,521898
2018-06-03,531451
2018-06-04,702896
2018-06-05,655687
2018-06-06,650992
2018-06-07,634092
2018-06-08,648968
2018-06-09,492405
2018-06-10,529717
2018-06-11,587718
2018-06-12,654018
2018-06-13,658191
2018-06-14,583184
2018-06-15,629239
2018-06-16,442336
2018-06-17,435995
2018-06-18,574863
2018-06-19,621660
2018-06-20,584946
2018-06-21,562477
2018-06-22,618787
