Date,Volume
2015-02-20,23876700
2015-02-21,12284200
2015-02-22,19527000
2015-02-23,16400000
2015-02-24,14200400
2015-02-25,11496200
2015-02-26,13619400
2015-02-27,44013900
2015-02-28,13949300
2015-03-01,25213700
2015-03-02,40465700
2015-03-03,50461300
2015-03-04,41383000
2015-03-05,41302400
2015-03-06,28918900
2015-03-07,17825900
2015-03-08,22067900
2015-03-09,59178200
2015-03-10,67770800
2015-03-11,33963900
2015-03-12,32585200
2015-03-13,31421500
2015-03-14,22612300
2015-03-15,11970100
2015-03-16,21516100
2015-03-17,21497200
2015-03-18,57008000
2015-03-19,52732000
2015-03-20,18456700
2015-03-21,17130100
2015-03-22,18438100
2015-03-23,22811900
2015-03-24,40073700
2015-03-25,35866900
2015-03-26,25730000
2015-03-27,17274900
2015-03-28,16040900
2015-03-29,21699400
2015-03-30,23009600
2015-03-31,22672000
2015-04-01,22877200
2015-04-02,26272600
2015-04-03,23146600
2015-04-04,12493500
2015-04-05,19649200
2015-04-06,20034200
2015-04-07,18467400
2015-04-08,30086400
2015-04-09,21643500
2015-04-10,28882000
2015-04-11,16365200
2015-04-12,12387900
2015-04-13,31181800
2015-04-14,31719000
2015-04-15,22562000
2015-04-16,24805400
2015-04-17,20429800
2015-04-18,12939000
2015-04-19,15021500
2015-04-20,18364700
2015-04-21,24978000
2015-04-22,23847900
2015-04-23,17036000
2015-04-24,21448700
2015-04-25,13957200
2015-04-26,28943700
2015-04-27,38574000
2015-04-28,21469200
2015-04-29,18936500
2015-04-30,33818600
2015-05-01,18815300
2015-05-02,12535500
2015-05-03,18494100
2015-05-04,21223400
2015-05-05,23929100
2015-05-06,29587200
2015-05-07,29064400
2015-05-08,27445500
2015-05-09,19790500
2015-05-10,15019100
2015-05-11,20892300
2015-05-12,19282600
2015-05-13,27180100
2015-05-14,24413700
2015-05-15,16329400
2015-05-16,11089700
2015-05-17,11134300
2015-05-18,16780300
2015-05-19,14241900
2015-05-20,15499400
2015-05-21,15108900
2015-05-22,27003000
2015-05-23,14605000
2015-05-24,11508000
2015-05-25,14423900
2015-05-26,16425000
2015-05-27,18837000
2015-05-28,13829600
2015-05-29,14805000
2015-05-30,14098600
2015-05-31,14730800
2015-06-01,26090500
2015-06-02,20459000
2015-06-03,17752400
2015-06-04,14728100
2015-06-05,18056500
2015-06-06,11131500
2015-06-07,13318400
2015-06-08,23378400
2015-06-09,28353100
2015-06-10,15904800
2015-06-11,14416000
2015-06-12,14017700
2015-06-13,13305300
2015-06-14,12165900
2015-06-15,19912100
2015-06-16,41612000
2015-06-17,43858400
2015-06-18,30980200
2015-06-19,23965300
2015-06-20,20608100
2015-06-21,10600900
2015-06-22,17692500
2015-06-23,15108700
2015-06-24,17344900
2015-06-25,16133100
2015-06-26,13983500
2015-06-27,20488600
2015-06-28,15137600
2015-06-29,34742900
2015-06-30,44533800
2015-07-01,27029800
2015-07-02,21551900
2015-07-03,19033800
2015-07-04,15620400
2015-07-05,44156100
2015-07-06,49154800
2015-07-07,28857600
2015-07-08,36980200
2015-07-09,40301200
2015-07-10,100390000
2015-07-11,41109900
2015-07-12,56405000
2015-07-13,62053900
2015-07-14,28727200
2015-07-15,27486600
2015-07-16,49482600
2015-07-17,27591400
2015-07-18,25187100
2015-07-19,15332500
2015-07-20,22711400
2015-07-21,22930700
2015-07-22,19389800
2015-07-23,18531300
2015-07-24,37199400
2015-07-25,20662200
2015-07-26,16032300
2015-07-27,30592000
2015-07-28,25453600
2015-07-29,24672600
2015-07-30,21635800
2015-07-31,23629100
2015-08-01,18995000
2015-08-02,17722200
2015-08-03,21474100
2015-08-04,21908700
2015-08-05,20128000
2015-08-06,18792100
2015-08-07,42484800
2015-08-08,58533000
2015-08-09,23789600
2015-08-10,20979400
2015-08-11,25433900
2015-08-12,26815400
2015-08-13,27685500
2015-08-14,27091200
2015-08-15,19321100
2015-08-16,29717000
2015-08-17,21617900
2015-08-18,42147200
2015-08-19,60869200
2015-08-20,32275000
2015-08-21,23173800
2015-08-22,23205900
2015-08-23,18406600
2015-08-24,59220700
2015-08-25,61089200
2015-08-26,31808000
2015-08-27,21905400
2015-08-28,31336600
2015-08-29,17142500
2015-08-30,19412600
2015-08-31,20710700
2015-09-01,20575200
2015-09-02,18760400
2015-09-03,17482000
2015-09-04,20962400
2015-09-05,20671400
2015-09-06,25473700
2015-09-07,21192200
2015-09-08,26879200
2015-09-09,23635700
2015-09-10,21215500
2015-09-11,19224700
2015-09-12,17962600
2015-09-13,18478800
2015-09-14,20997800
2015-09-15,19177800
2015-09-16,20144200
2015-09-17,18935400
2015-09-18,20242200
2015-09-19,12712600
2015-09-20,14444700
2015-09-21,19678800
2015-09-22,25009300
2015-09-23,17254100
2015-09-24,25097800
2015-09-25,22363600
2015-09-26,13724100
2015-09-27,14179900
2015-09-28,24713000
2015-09-29,22691300
2015-09-30,19743500
2015-10-01,20488800
2015-10-02,19677900
2015-10-03,16482700
2015-10-04,12999000
2015-10-05,23335900
2015-10-06,27535100
2015-10-07,22999200
2015-10-08,18515300
2015-10-09,17353100
2015-10-10,15912700
2015-10-11,16827300
2015-10-12,17388300
2015-10-13,28198500
2015-10-14,27462600
2015-10-15,25223500
2015-10-16,35901500
2015-10-17,43199600
2015-10-18,22434300
2015-10-19,25258800
2015-10-20,30889800
2015-10-21,25637300
2015-10-22,37808600
2015-10-23,29442500
2015-10-24,25942400
2015-10-25,45717100
2015-10-26,32108800
2015-10-27,46331800
2015-10-28,50808100
2015-10-29,64495900
2015-10-30,78305000
2015-10-31,48598100
2015-11-01,37001100
2015-11-02,101918000
2015-11-03,206162000
2015-11-04,263900000
2015-11-05,151824992
2015-11-06,122687000
2015-11-07,56625100
2015-11-08,51817600
2015-11-09,68224400
2015-11-10,95797904
2015-11-11,107070000
2015-11-12,78477800
2015-11-13,52003000
2015-11-14,38612000
2015-11-15,44213100
2015-11-16,47980100
2015-11-17,51001600
2015-11-18,43783800
2015-11-19,45011100
2015-11-20,53152900
2015-11-21,28200500
2015-11-22,23439400
2015-11-23,27478900
2015-11-24,29362600
2015-11-25,41666900
2015-11-26,106105000
2015-11-27,55179100
2015-11-28,36816600
2015-11-29,40409300
2015-11-30,71701600
2015-12-01,60452200
2015-12-02,54160500
2015-12-03,50714900
2015-12-04,35784100
2015-12-05,66282200
2015-12-06,77762000
2015-12-07,63455800
2015-12-08,57801400
2015-12-09,90917200
2015-12-10,52138900
2015-12-11,110944000
2015-12-12,131969000
2015-12-13,55050600
2015-12-14,130496000
2015-12-15,83121104
2015-12-16,107944000
2015-12-17,47978400
2015-12-18,60220100
2015-12-19,47892700
2015-12-20,75409400
2015-12-21,77639696
2015-12-22,50840400
2015-12-23,47161400
2015-12-24,57157200
2015-12-25,39078500
2015-12-26,116166000
2015-12-27,53591200
2015-12-28,49638600
2015-12-29,51596500
2015-12-30,46889400
2015-12-31,45996600
2016-01-01,36278900
2016-01-02,30096600
2016-01-03,39633800
2016-01-04,38477500
2016-01-05,34522600
2016-01-06,34042500
2016-01-07,87562200
2016-01-08,56993000
2016-01-09,32278000
2016-01-10,35995900
2016-01-11,40450000
2016-01-12,115607000
2016-01-13,173888000
2016-01-14,43945500
2016-01-15,153351008
2016-01-16,120352000
2016-01-17,45319600
2016-01-18,54403900
2016-01-19,46819800
2016-01-20,121720000
2016-01-21,68338000
2016-01-22,91546600
2016-01-23,56247400
2016-01-24,54824800
2016-01-25,59062400
2016-01-26,58147000
2016-01-27,47424400
2016-01-28,59247900
2016-01-29,86125296
2016-01-30,30284400
2016-01-31,37894300
2016-02-01,51656700
2016-02-02,40378700
2016-02-03,45933400
2016-02-04,69285504
2016-02-05,43825000
2016-02-06,49249300
2016-02-07,37076300
2016-02-08,47671100
2016-02-09,55318500
2016-02-10,85130896
2016-02-11,74375600
2016-02-12,67042800
2016-02-13,61911700
2016-02-14,74469800
2016-02-15,74070496
2016-02-16,73093104
2016-02-17,83193600
2016-02-18,76752600
2016-02-19,55711300
2016-02-20,93992096
2016-02-21,89820704
2016-02-22,85385200
2016-02-23,85244896
2016-02-24,67743696
2016-02-25,70798000
2016-02-26,61486000
2016-02-27,41893600
2016-02-28,53033400
2016-02-29,60694700
2016-03-01,74895800
2016-03-02,74955296
2016-03-03,100484000
2016-03-04,90856096
2016-03-05,135384992
2016-03-06,91212496
2016-03-07,85762400
2016-03-08,70311696
2016-03-09,70012304
2016-03-10,81022896
2016-03-11,73969696
2016-03-12,92712896
2016-03-13,74322800
2016-03-14,95259400
2016-03-15,66781700
2016-03-16,65185800
2016-03-17,83528600
2016-03-18,104940000
2016-03-19,58423000
2016-03-20,45947900
2016-03-21,61655400
2016-03-22,66813300
2016-03-23,61444200
2016-03-24,68346704
2016-03-25,52560000
2016-03-26,44650400
2016-03-27,71229400
2016-03-28,68522800
2016-03-29,75411504
2016-03-30,66034100
2016-03-31,60215200
2016-04-01,51235700
2016-04-02,45681200
2016-04-03,38053700
2016-04-04,50634300
2016-04-05,60718000
2016-04-06,59091000
2016-04-07,57858600
2016-04-08,63454700
2016-04-09,49792700
