,date,Return
0,2015-02-20,120
1,2015-02-21,87
2,2015-02-22,82
3,2015-02-23,82
4,2015-02-24,75
5,2015-02-25,73
6,2015-02-26,71
7,2015-02-27,76
8,2015-02-28,68
9,2015-03-01,72
10,2015-03-02,80
11,2015-03-03,80
12,2015-03-04,78
13,2015-03-05,78
14,2015-03-06,89
15,2015-03-07,88
16,2015-03-08,79
17,2015-03-09,82
18,2015-03-10,91
19,2015-03-11,94
20,2015-03-12,82
21,2015-03-13,83
22,2015-03-14,84
23,2015-03-15,89
24,2015-03-16,102
25,2015-03-17,92
26,2015-03-18,97
27,2015-03-19,96
28,2015-03-20,81
29,2015-03-21,77
30,2015-03-22,73
31,2015-03-23,78
32,2015-03-24,80
33,2015-03-25,91
34,2015-03-26,78
35,2015-03-27,71
36,2015-03-28,67
37,2015-03-29,68
38,2015-03-30,87
39,2015-03-31,75
40,2015-04-01,78
41,2015-04-02,70
42,2015-04-03,73
43,2015-04-04,71
44,2015-04-05,76
45,2015-04-06,74
46,2015-04-07,78
47,2015-04-08,80
48,2015-04-09,78
49,2015-04-10,74
50,2015-04-11,73
51,2015-04-12,67
52,2015-04-13,75
53,2015-04-14,74
54,2015-04-15,69
55,2015-04-16,67
56,2015-04-17,69
57,2015-04-18,66
58,2015-04-19,68
59,2015-04-20,70
60,2015-04-21,73
61,2015-04-22,75
62,2015-04-23,69
63,2015-04-24,69
64,2015-04-25,67
65,2015-04-26,68
66,2015-04-27,69
67,2015-04-28,70
68,2015-04-29,69
69,2015-04-30,72
70,2015-05-01,66
71,2015-05-02,63
72,2015-05-03,64
73,2015-05-04,64
74,2015-05-05,66
75,2015-05-06,71
76,2015-05-07,66
77,2015-05-08,71
78,2015-05-09,62
79,2015-05-10,64
80,2015-05-11,70
81,2015-05-12,70
82,2015-05-13,73
83,2015-05-14,86
84,2015-05-15,70
85,2015-05-16,69
86,2015-05-17,71
87,2015-05-18,72
88,2015-05-19,73
89,2015-05-20,78
90,2015-05-21,72
91,2015-05-22,68
92,2015-05-23,64
93,2015-05-24,67
94,2015-05-25,73
95,2015-05-26,74
96,2015-05-27,74
97,2015-05-28,64
98,2015-05-29,75
99,2015-05-30,82
100,2015-05-31,74
101,2015-06-01,71
102,2015-06-02,69
103,2015-06-03,73
104,2015-06-04,70
105,2015-06-05,66
106,2015-06-06,68
107,2015-06-07,68
108,2015-06-08,63
109,2015-06-09,69
110,2015-06-10,68
111,2015-06-11,69
112,2015-06-12,71
113,2015-06-13,59
114,2015-06-14,68
115,2015-06-15,67
116,2015-06-16,75
117,2015-06-17,79
