,Date,Open,High,Low,Close,Adj Close
0,2015-02-20,15.73,16.290001,14.27,14.3,14.3
1,2015-02-21,15.73,16.290001,14.27,14.3,14.3
2,2015-02-22,15.73,16.290001,14.27,14.3,14.3
3,2015-02-23,15.05,15.48,14.49,14.56,14.56
4,2015-02-24,14.5,14.63,13.53,13.69,13.69
5,2015-02-25,13.64,14.06,12.86,13.84,13.84
6,2015-02-26,13.55,14.57,13.55,13.91,13.91
7,2015-02-27,14.07,14.17,13.29,13.34,13.34
8,2015-02-28,14.07,14.17,13.29,13.34,13.34
9,2015-03-01,14.07,14.17,13.29,13.34,13.34
10,2015-03-02,13.9,13.9,12.87,13.04,13.04
11,2015-03-03,13.35,14.69,13.25,13.86,13.86
12,2015-03-04,14.28,14.71,14.13,14.23,14.23
13,2015-03-05,14.01,14.58,13.88,14.04,14.04
14,2015-03-06,14.61,15.83,14.18,15.2,15.2
15,2015-03-07,14.61,15.83,14.18,15.2,15.2
16,2015-03-08,14.61,15.83,14.18,15.2,15.2
17,2015-03-09,15.72,15.76,14.71,15.06,15.06
18,2015-03-10,16.469999,16.91,16.030001,16.690001,16.690001
19,2015-03-11,16.440001,17.190001,16.290001,16.870001,16.870001
20,2015-03-12,16.450001,16.450001,15.3,15.42,15.42
21,2015-03-13,15.47,16.74,15.32,16.0,16.0
22,2015-03-14,15.47,16.74,15.32,16.0,16.0
23,2015-03-15,15.47,16.74,15.32,16.0,16.0
24,2015-03-16,15.78,15.89,15.36,15.61,15.61
25,2015-03-17,16.309999,16.370001,15.66,15.66,15.66
26,2015-03-18,14.6,16.290001,13.38,13.97,13.97
27,2015-03-19,14.68,14.97,13.84,14.07,14.07
28,2015-03-20,13.52,13.53,12.54,13.02,13.02
29,2015-03-21,13.52,13.53,12.54,13.02,13.02
30,2015-03-22,13.52,13.53,12.54,13.02,13.02
31,2015-03-23,13.52,13.53,12.89,13.41,13.41
32,2015-03-24,13.36,13.68,12.59,13.62,13.62
33,2015-03-25,13.26,15.55,13.2,15.44,15.44
34,2015-03-26,16.639999,17.190001,15.23,15.8,15.8
35,2015-03-27,15.73,15.83,14.19,15.07,15.07
36,2015-03-28,15.73,15.83,14.19,15.07,15.07
37,2015-03-29,15.73,15.83,14.19,15.07,15.07
38,2015-03-30,14.76,14.76,14.08,14.51,14.51
39,2015-03-31,14.97,15.74,14.33,15.29,15.29
40,2015-04-01,15.32,16.66,15.08,15.11,15.11
41,2015-04-02,15.3,15.51,14.27,14.67,14.67
42,2015-04-03,15.3,15.51,14.27,14.67,14.67
43,2015-04-04,15.3,15.51,14.27,14.67,14.67
44,2015-04-05,15.3,15.51,14.27,14.67,14.67
45,2015-04-06,15.75,15.76,14.04,14.74,14.74
46,2015-04-07,14.57,14.81,14.01,14.78,14.78
47,2015-04-08,14.59,14.77,13.75,13.98,13.98
48,2015-04-09,14.14,14.59,13.09,13.09,13.09
49,2015-04-10,13.2,13.26,12.51,12.58,12.58
50,2015-04-11,13.2,13.26,12.51,12.58,12.58
51,2015-04-12,13.2,13.26,12.51,12.58,12.58
52,2015-04-13,13.17,14.31,12.71,13.94,13.94
53,2015-04-14,14.34,14.74,13.64,13.67,13.67
54,2015-04-15,13.58,13.58,12.83,12.84,12.84
55,2015-04-16,13.27,13.35,12.5,12.6,12.6
56,2015-04-17,13.97,15.02,13.73,13.89,13.89
57,2015-04-18,13.97,15.02,13.73,13.89,13.89
58,2015-04-19,13.97,15.02,13.73,13.89,13.89
59,2015-04-20,13.67,13.67,12.83,13.3,13.3
60,2015-04-21,12.75,13.51,12.66,13.25,13.25
61,2015-04-22,12.97,13.8,12.57,12.71,12.71
62,2015-04-23,12.96,12.96,12.12,12.48,12.48
63,2015-04-24,12.21,13.02,12.16,12.29,12.29
64,2015-04-25,12.21,13.02,12.16,12.29,12.29
65,2015-04-26,12.21,13.02,12.16,12.29,12.29
66,2015-04-27,12.34,13.4,12.33,13.12,13.12
67,2015-04-28,13.26,14.23,12.41,12.41,12.41
68,2015-04-29,13.44,14.34,12.61,13.39,13.39
69,2015-04-30,13.89,15.29,12.49,14.55,14.55
70,2015-05-01,13.98,13.98,12.68,12.7,12.7
71,2015-05-02,13.98,13.98,12.68,12.7,12.7
72,2015-05-03,13.98,13.98,12.68,12.7,12.7
73,2015-05-04,13.12,13.18,12.1,12.85,12.85
74,2015-05-05,13.21,14.41,12.97,14.31,14.31
75,2015-05-06,13.93,16.360001,13.89,15.15,15.15
76,2015-05-07,15.48,15.97,14.81,15.13,15.13
77,2015-05-08,13.36,13.42,12.7,12.86,12.86
78,2015-05-09,13.36,13.42,12.7,12.86,12.86
79,2015-05-10,13.36,13.42,12.7,12.86,12.86
80,2015-05-11,13.35,13.85,13.0,13.85,13.85
81,2015-05-12,14.73,15.13,13.73,13.86,13.86
82,2015-05-13,13.63,14.04,13.06,13.76,13.76
83,2015-05-14,13.14,13.29,12.72,12.74,12.74
84,2015-05-15,12.46,13.09,12.35,12.38,12.38
85,2015-05-16,12.46,13.09,12.35,12.38,12.38
86,2015-05-17,12.46,13.09,12.35,12.38,12.38
87,2015-05-18,13.08,13.22,12.55,12.73,12.73
88,2015-05-19,12.95,13.13,12.55,12.85,12.85
89,2015-05-20,12.9,13.27,12.62,12.88,12.88
90,2015-05-21,13.03,13.09,12.09,12.11,12.11
91,2015-05-22,12.37,12.37,11.82,12.13,12.13
92,2015-05-23,12.37,12.37,11.82,12.13,12.13
93,2015-05-24,12.37,12.37,11.82,12.13,12.13
94,2015-05-25,12.37,12.37,11.82,12.13,12.13
95,2015-05-26,13.45,14.63,13.34,14.06,14.06
96,2015-05-27,14.16,14.41,13.05,13.27,13.27
97,2015-05-28,13.49,13.99,13.31,13.31,13.31
98,2015-05-29,13.59,14.43,13.4,13.84,13.84
99,2015-05-30,13.59,14.43,13.4,13.84,13.84
100,2015-05-31,13.59,14.43,13.4,13.84,13.84
101,2015-06-01,13.92,14.86,13.47,13.97,13.97
102,2015-06-02,14.72,15.05,13.59,14.24,14.24
103,2015-06-03,13.73,14.2,13.4,13.66,13.66
104,2015-06-04,14.57,15.49,13.99,14.71,14.71
105,2015-06-05,15.01,15.65,14.21,14.21,14.21
106,2015-06-06,15.01,15.65,14.21,14.21,14.21
107,2015-06-07,15.01,15.65,14.21,14.21,14.21
108,2015-06-08,14.84,15.5,14.67,15.29,15.29
109,2015-06-09,15.18,15.74,14.47,14.47,14.47
110,2015-06-10,14.24,14.37,12.96,13.22,13.22
111,2015-06-11,13.04,13.22,12.56,12.85,12.85
112,2015-06-12,13.31,14.02,13.3,13.78,13.78
113,2015-06-13,13.31,14.02,13.3,13.78,13.78
114,2015-06-14,13.31,14.02,13.3,13.78,13.78
115,2015-06-15,15.48,15.57,14.91,15.39,15.39
116,2015-06-16,15.62,15.62,14.81,14.81,14.81
117,2015-06-17,14.66,15.49,14.07,14.5,14.5
118,2015-06-18,14.03,14.03,12.54,13.19,13.19
119,2015-06-19,13.35,14.0,12.96,13.96,13.96
120,2015-06-20,13.35,14.0,12.96,13.96,13.96
