,Date,Open,High,Low,Close,Adj Close
0,2015-02-20,1.136674,1.137599,1.12821,1.136674,1.136674
1,2015-02-21,1.136674,1.137599,1.12821,1.136674,1.136674
2,2015-02-22,1.136674,1.137599,1.12821,1.136674,1.136674
3,2015-02-23,1.137941,1.139302,1.12966,1.138148,1.138148
4,2015-02-24,1.133414,1.13474,1.12907,1.133299,1.133299
5,2015-02-25,1.13407,1.1388,1.13378,1.133903,1.133903
6,2015-02-26,1.136273,1.13788,1.12027,1.136364,1.136364
7,2015-02-27,1.12036,1.125,1.117681,1.120536,1.120536
8,2015-02-28,1.12036,1.125,1.117681,1.120536,1.120536
9,2015-03-01,1.12036,1.125,1.117681,1.120536,1.120536
10,2015-03-02,1.117094,1.12404,1.116395,1.116196,1.116196
11,2015-03-03,1.117668,1.121401,1.1156,1.117905,1.117905
12,2015-03-04,1.118406,1.118806,1.10628,1.118218,1.118218
13,2015-03-05,1.107996,1.11089,1.10105,1.108205,1.108205
14,2015-03-06,1.1034,1.1034,1.085222,1.103205,1.103205
15,2015-03-07,1.1034,1.1034,1.085222,1.103205,1.103205
16,2015-03-08,1.1034,1.1034,1.085222,1.103205,1.103205
17,2015-03-09,1.084563,1.091,1.083776,1.084599,1.084599
18,2015-03-10,1.083576,1.083705,1.07059,1.083341,1.083341
19,2015-03-11,1.070939,1.071455,1.05614,1.07087,1.07087
20,2015-03-12,1.054941,1.06815,1.050155,1.054875,1.054875
21,2015-03-13,1.062598,1.063,1.04863,1.062631,1.062631
22,2015-03-14,1.062598,1.063,1.04863,1.062631,1.062631
23,2015-03-15,1.062598,1.063,1.04863,1.062631,1.062631
24,2015-03-16,1.048449,1.0614,1.048449,1.048163,1.048163
25,2015-03-17,1.057284,1.0649,1.055298,1.057295,1.057295
26,2015-03-18,1.059591,1.0646,1.05805,1.059805,1.059805
27,2015-03-19,1.084399,1.091405,1.062141,1.084999,1.084999
28,2015-03-20,1.06727,1.08149,1.06572,1.066894,1.066894
