,Date,Price,Open,High,Low,Vol.,Change %
0,2015-02-20,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
1,2015-02-21,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
2,2015-02-22,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
3,2015-02-23,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
4,2015-02-24,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
5,2015-02-25,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
6,2015-02-26,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
7,2015-02-27,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
8,2015-02-28,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
9,2015-03-01,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
10,2015-03-02,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
11,2015-03-03,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
12,2015-03-04,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
13,2015-03-05,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
14,2015-03-06,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
15,2015-03-07,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
16,2015-03-08,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
17,2015-03-09,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
18,2015-03-10,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
19,2015-03-11,"1,160.00","1,160.00","1,160.00","1,160.00",-,0.00%
20,2015-03-12,"1,140.00","1,140.00","1,140.00","1,140.00",-,-1.72%
21,2015-03-13,"1,140.00","1,140.00","1,140.00","1,140.00",-,0.00%
22,2015-03-14,"1,140.00","1,140.00","1,140.00","1,140.00",-,0.00%
23,2015-03-15,"1,140.00","1,140.00","1,140.00","1,140.00",-,0.00%
24,2015-03-16,"1,140.00","1,140.00","1,140.00","1,140.00",-,0.00%
25,2015-03-17,"1,140.00","1,140.00","1,140.00","1,140.00",-,0.00%
26,2015-03-18,"1,130.00","1,130.00","1,130.00","1,130.00",-,-0.88%
27,2015-03-19,"1,130.00","1,130.00","1,130.00","1,130.00",-,0.00%
28,2015-03-20,"1,130.00","1,130.00","1,130.00","1,130.00",-,0.00%
29,2015-03-21,"1,130.00","1,130.00","1,130.00","1,130.00",-,0.00%
30,2015-03-22,"1,130.00","1,130.00","1,130.00","1,130.00",-,0.00%
31,2015-03-23,"1,145.00","1,145.00","1,145.00","1,145.00",-,1.33%
32,2015-03-24,"1,145.00","1,145.00","1,145.00","1,145.00",-,0.00%
33,2015-03-25,"1,145.00","1,145.00","1,145.00","1,145.00",-,0.00%
34,2015-03-26,"1,145.00","1,145.00","1,145.00","1,145.00",-,0.00%
35,2015-03-27,"1,145.00","1,145.00","1,145.00","1,145.00",-,0.00%
