Date,Price,Open,High,Low,Change %
2018-01-01,"1,063.85","1,068.15","1,074.80","1,055.65",-0.39%
2018-01-02,"1,093.20","1,066.00","1,097.25","1,065.75",2.76%
2018-01-03,"1,082.70","1,093.25","1,094.80","1,081.80",-0.96%
2018-01-04,"1,098.90","1,082.95","1,107.40","1,081.20",1.50%
2018-01-05,"1,092.85","1,099.25","1,101.45","1,086.30",-0.55%
2018-01-06,"1,092.85","1,099.25","1,101.45","1,086.30",-0.55%
2018-01-07,"1,096.35","1,094.05","1,096.80","1,094.05",0.32%
2018-01-08,"1,101.25","1,096.05","1,103.95","1,089.95",0.45%
2018-01-09,"1,100.75","1,100.55","1,113.30","1,099.95",-0.05%
2018-01-10,"1,089.10","1,100.05","1,105.20","1,083.25",-1.06%
2018-01-11,"1,086.65","1,089.85","1,092.80","1,079.05",-0.22%
2018-01-12,"1,125.05","1,086.85","1,127.40","1,086.85",3.53%
2018-01-13,"1,125.05","1,086.85","1,127.40","1,086.85",3.53%
2018-01-14,"1,122.10","1,122.10","1,122.85","1,121.95",-0.26%
2018-01-15,"1,129.00","1,121.90","1,139.45","1,120.75",0.61%
2018-01-16,"1,100.30","1,128.95","1,133.60","1,091.50",-2.54%
2018-01-17,"1,117.85","1,100.35","1,121.40","1,099.85",1.60%
2018-01-18,"1,103.20","1,117.75","1,119.25","1,101.05",-1.31%
2018-01-19,"1,107.40","1,105.30","1,117.15","1,101.95",0.38%
2018-01-20,"1,107.40","1,105.30","1,117.15","1,101.95",0.38%
2018-01-21,"1,109.20","1,110.85","1,110.95","1,108.30",0.16%
2018-01-22,"1,099.30","1,108.90","1,110.70","1,085.65",-0.89%
2018-01-23,"1,096.05","1,099.60","1,102.70","1,088.75",-0.30%
2018-01-24,"1,110.50","1,096.30","1,115.85","1,095.20",1.32%
2018-01-25,"1,096.15","1,110.60","1,116.60","1,095.60",-1.29%
2018-01-26,"1,093.10","1,096.45","1,102.55","1,084.00",-0.28%
2018-01-27,"1,093.10","1,096.45","1,102.55","1,084.00",-0.28%
2018-01-28,"1,092.60","1,095.65","1,095.65","1,092.55",-0.05%
2018-01-29,"1,089.05","1,093.05","1,094.80","1,083.20",-0.32%
2018-01-30,"1,063.00","1,089.00","1,090.75","1,050.55",-2.39%
2018-01-31,"1,030.50","1,062.90","1,063.75","1,025.15",-3.06%
2018-02-01,"1,038.90","1,030.60","1,041.50","1,016.50",0.82%
2018-02-02,"1,047.40","1,039.10","1,054.20","1,036.85",0.82%
2018-02-03,"1,047.40","1,039.10","1,054.20","1,036.85",0.82%
2018-02-04,"1,044.85","1,048.75","1,048.75","1,043.95",-0.24%
2018-02-05,"1,020.45","1,044.45","1,045.75","1,020.40",-2.34%
2018-02-06,"1,013.15","1,020.50","1,028.15","1,001.60",-0.72%
2018-02-07,986.80,"1,013.20","1,013.85",981.40,-2.60%
2018-02-08,966.05,986.85,988.10,961.95,-2.10%
2018-02-09,979.45,966.35,979.90,959.75,1.39%
2018-02-10,979.45,966.35,979.90,959.75,1.39%
2018-02-11,981.75,977.70,981.85,977.70,0.23%
2018-02-12,987.50,982.00,991.10,978.45,0.59%
2018-02-13,989.50,987.40,995.70,983.15,0.20%
2018-02-14,"1,003.50",988.70,"1,007.80",983.00,1.41%
2018-02-15,"1,020.75","1,004.70","1,023.90","1,002.49",1.72%
2018-02-16,"1,047.00","1,022.00","1,049.60","1,019.45",2.57%
2018-02-17,"1,047.00","1,022.00","1,049.60","1,019.45",2.57%
2018-02-18,"1,046.95","1,046.10","1,047.15","1,044.95",-0.00%
2018-02-19,"1,036.00","1,050.00","1,053.00","1,029.49",-1.05%
2018-02-20,"1,035.30","1,035.70","1,044.90","1,026.95",-0.07%
2018-02-21,"1,023.00","1,036.89","1,038.49","1,020.50",-1.19%
2018-02-22,"1,041.24","1,022.97","1,043.40","1,020.00",1.78%
2018-02-23,"1,049.49","1,042.97","1,051.47","1,035.78",0.79%
2018-02-24,"1,049.49","1,042.97","1,051.47","1,035.78",0.79%
2018-02-25,"1,049.80","1,048.70","1,050.80","1,048.60",0.03%
2018-02-26,"1,062.60","1,048.60","1,067.10","1,046.99",1.22%
2018-02-27,"1,038.45","1,063.90","1,066.70","1,036.85",-2.27%
2018-02-28,"1,045.24","1,040.00","1,052.70","1,038.00",0.65%
2018-03-01,992.00,"1,046.08","1,048.08",977.77,-5.09%
2018-03-02,994.50,991.77,"1,001.48",979.27,0.25%
2018-03-03,994.50,991.77,"1,001.48",979.27,0.25%
2018-03-04,996.45,999.05,999.35,995.55,0.20%
2018-03-05,985.50,997.10,"1,002.22",980.00,-1.10%
2018-03-06,987.20,984.57,995.00,975.60,0.17%
2018-03-07,970.55,985.75,989.05,963.10,-1.69%
2018-03-08,978.05,970.75,990.75,963.80,0.77%
2018-03-09,998.50,977.83,999.77,969.77,2.09%
2018-03-10,998.50,977.83,999.77,969.77,2.09%
2018-03-11,997.20,996.90,997.85,996.85,-0.13%
2018-03-12,981.50,"1,000.00","1,000.20",970.00,-1.57%
2018-03-13,994.00,981.50,"1,000.40",976.35,1.27%
2018-03-14,990.15,995.00,"1,009.30",988.50,-0.39%
2018-03-15,989.50,992.50,996.50,981.00,-0.07%
2018-03-16,997.00,988.60,999.50,982.80,0.76%
2018-03-17,997.00,988.60,999.50,982.80,0.76%
2018-03-18,994.95,996.60,996.60,994.65,-0.21%
2018-03-19,993.00,997.80,"1,001.10",988.25,-0.20%
2018-03-20,981.50,991.30,997.00,977.95,-1.16%
2018-03-21,993.00,983.10,997.00,980.47,1.17%
2018-03-22,983.00,991.50,998.50,970.00,-1.01%
2018-03-23,979.00,985.10,991.00,969.50,-0.41%
2018-03-24,979.00,985.10,991.00,969.50,-0.41%
2018-03-25,976.80,975.35,978.35,975.35,-0.22%
2018-03-26,977.00,975.97,988.20,969.90,0.02%
2018-03-27,975.50,977.50,986.00,970.00,-0.15%
2018-03-28,969.00,975.00,980.10,964.65,-0.67%
2018-03-29,954.50,971.00,975.00,941.22,-1.50%
2018-03-30,954.50,971.00,975.00,941.22,-1.50%
2018-03-31,954.50,971.00,975.00,941.22,-1.50%
2018-04-01,955.35,950.50,957.40,950.50,0.09%
2018-04-02,937.75,953.25,960.75,930.75,-1.84%
2018-04-03,932.50,939.40,947.10,930.25,-0.56%
2018-04-04,927.50,934.90,936.10,916.00,-0.54%
2018-04-05,908.25,929.00,933.70,902.50,-2.08%
2018-04-06,903.00,908.50,917.90,897.97,-0.58%
