Date,Price,Open,High,Low,Change %
2018-01-01,"1,306.86","1,303.43","1,307.72","1,302.43",0.33%
2018-01-02,"1,318.14","1,302.55","1,318.98","1,302.51",0.86%
2018-01-03,"1,312.84","1,318.16","1,321.40","1,307.16",-0.40%
2018-01-04,"1,322.97","1,312.53","1,325.92","1,305.67",0.77%
2018-01-05,"1,320.21","1,323.50","1,323.83","1,313.81",-0.21%
2018-01-06,"1,320.21","1,323.50","1,323.83","1,313.81",-0.21%
2018-01-07,"1,320.21","1,323.50","1,323.83","1,313.81",-0.21%
2018-01-08,"1,320.58","1,320.04","1,322.22","1,314.97",0.03%
2018-01-09,"1,312.66","1,320.63","1,320.68","1,308.80",-0.60%
2018-01-10,"1,317.19","1,313.28","1,326.94","1,308.29",0.35%
2018-01-11,"1,322.42","1,316.89","1,323.98","1,315.49",0.40%
2018-01-12,"1,338.40","1,322.82","1,339.40","1,321.16",1.21%
2018-01-13,"1,338.40","1,322.82","1,339.40","1,321.16",1.21%
2018-01-14,"1,338.40","1,322.82","1,339.40","1,321.16",1.21%
2018-01-15,"1,340.16","1,337.05","1,344.93","1,336.14",0.13%
2018-01-16,"1,338.61","1,340.06","1,342.35","1,331.73",-0.12%
2018-01-17,"1,327.73","1,338.29","1,343.99","1,326.73",-0.81%
2018-01-18,"1,327.19","1,327.75","1,333.14","1,323.79",-0.04%
2018-01-19,"1,331.80","1,327.49","1,338.37","1,326.46",0.35%
2018-01-20,"1,331.80","1,327.49","1,338.37","1,326.46",0.35%
2018-01-21,"1,331.80","1,327.49","1,338.37","1,326.46",0.35%
2018-01-22,"1,334.11","1,334.88","1,336.04","1,328.71",0.17%
2018-01-23,"1,341.39","1,334.45","1,342.22","1,331.54",0.55%
2018-01-24,"1,358.15","1,341.45","1,361.88","1,339.27",1.25%
2018-01-25,"1,348.05","1,358.48","1,366.47","1,343.10",-0.74%
2018-01-26,"1,350.14","1,348.36","1,357.39","1,344.38",0.16%
2018-01-27,"1,350.14","1,348.36","1,357.39","1,344.38",0.16%
2018-01-28,"1,350.14","1,348.36","1,357.39","1,344.38",0.16%
2018-01-29,"1,340.35","1,350.07","1,352.65","1,337.74",-0.73%
2018-01-30,"1,338.55","1,340.67","1,349.12","1,334.48",-0.13%
2018-01-31,"1,345.10","1,338.87","1,347.93","1,332.70",0.49%
2018-02-01,"1,349.19","1,345.40","1,351.42","1,337.30",0.30%
2018-02-02,"1,332.98","1,349.16","1,350.12","1,327.21",-1.20%
2018-02-03,"1,332.98","1,349.16","1,350.12","1,327.21",-1.20%
2018-02-04,"1,332.98","1,349.16","1,350.12","1,327.21",-1.20%
2018-02-05,"1,339.60","1,332.32","1,341.70","1,328.88",0.50%
2018-02-06,"1,325.02","1,339.68","1,346.08","1,320.04",-1.09%
2018-02-07,"1,318.49","1,325.16","1,332.49","1,312.05",-0.49%
2018-02-08,"1,318.97","1,318.61","1,322.17","1,306.90",0.04%
2018-02-09,"1,316.69","1,318.87","1,322.71","1,311.06",-0.17%
2018-02-10,"1,316.69","1,318.87","1,322.71","1,311.06",-0.17%
2018-02-11,"1,316.69","1,318.87","1,322.71","1,311.06",-0.17%
2018-02-12,"1,322.88","1,315.04","1,326.20","1,314.11",0.47%
2018-02-13,"1,329.55","1,322.29","1,330.96","1,321.39",0.50%
2018-02-14,"1,350.76","1,329.53","1,355.57","1,319.42",1.60%
2018-02-15,"1,353.30","1,350.78","1,357.18","1,348.41",0.19%
2018-02-16,"1,347.86","1,353.31","1,361.97","1,344.82",-0.40%
2018-02-17,"1,347.86","1,353.31","1,361.97","1,344.82",-0.40%
2018-02-18,"1,347.86","1,353.31","1,361.97","1,344.82",-0.40%
2018-02-19,"1,346.69","1,347.67","1,351.34","1,345.82",-0.09%
2018-02-20,"1,329.49","1,346.77","1,348.36","1,328.39",-1.28%
2018-02-21,"1,324.26","1,329.48","1,336.27","1,322.36",-0.39%
2018-02-22,"1,331.51","1,323.94","1,332.34","1,320.84",0.55%
2018-02-23,"1,328.94","1,331.81","1,332.42","1,325.73",-0.19%
2018-02-24,"1,328.94","1,331.81","1,332.42","1,325.73",-0.19%
2018-02-25,"1,328.94","1,331.81","1,332.42","1,325.73",-0.19%
2018-02-26,"1,333.16","1,327.92","1,341.06","1,326.59",0.32%
2018-02-27,"1,318.20","1,333.14","1,336.90","1,313.47",-1.12%
2018-02-28,"1,318.05","1,318.20","1,322.64","1,315.59",-0.01%
2018-03-01,"1,316.55","1,318.22","1,321.16","1,302.76",-0.11%
2018-03-02,"1,322.20","1,316.54","1,325.65","1,315.12",0.43%
2018-03-03,"1,322.20","1,316.54","1,325.65","1,315.12",0.43%
2018-03-04,"1,322.20","1,316.54","1,325.65","1,315.12",0.43%
2018-03-05,"1,320.02","1,323.78","1,328.02","1,317.43",-0.17%
2018-03-06,"1,334.46","1,320.03","1,338.72","1,319.72",1.09%
