,Date,Price,Open,High,Low,Vol.,Change %
0,2015-02-20,560.00,560.00,560.00,560.00,-,0.00%
1,2015-02-21,560.00,560.00,560.00,560.00,-,0.00%
2,2015-02-22,560.00,560.00,560.00,560.00,-,0.00%
3,2015-02-23,560.00,560.00,560.00,560.00,-,0.00%
4,2015-02-24,560.00,560.00,560.00,560.00,-,0.00%
5,2015-02-25,560.00,560.00,560.00,560.00,-,0.00%
6,2015-02-26,560.00,560.00,560.00,560.00,-,0.00%
7,2015-02-27,560.00,560.00,560.00,560.00,-,0.00%
8,2015-02-28,560.00,560.00,560.00,560.00,-,0.00%
9,2015-03-01,560.00,560.00,560.00,560.00,-,0.00%
10,2015-03-02,560.00,560.00,560.00,560.00,-,0.00%
11,2015-03-03,560.00,560.00,560.00,560.00,-,0.00%
12,2015-03-04,560.00,560.00,560.00,560.00,-,0.00%
13,2015-03-05,560.00,560.00,560.00,560.00,-,0.00%
14,2015-03-06,560.00,560.00,560.00,560.00,-,0.00%
15,2015-03-07,560.00,560.00,560.00,560.00,-,0.00%
16,2015-03-08,560.00,560.00,560.00,560.00,-,0.00%
17,2015-03-09,560.00,560.00,560.00,560.00,-,0.00%
18,2015-03-10,560.00,560.00,560.00,560.00,-,0.00%
19,2015-03-11,560.00,560.00,560.00,560.00,-,0.00%
20,2015-03-12,560.00,560.00,560.00,560.00,-,0.00%
21,2015-03-13,560.00,560.00,560.00,560.00,-,0.00%
22,2015-03-14,560.00,560.00,560.00,560.00,-,0.00%
23,2015-03-15,560.00,560.00,560.00,560.00,-,0.00%
24,2015-03-16,560.00,560.00,560.00,560.00,-,0.00%
25,2015-03-17,560.00,560.00,560.00,560.00,-,0.00%
26,2015-03-18,560.00,560.00,560.00,560.00,-,0.00%
27,2015-03-19,560.00,560.00,560.00,560.00,-,0.00%
28,2015-03-20,560.00,560.00,560.00,560.00,-,0.00%
29,2015-03-21,560.00,560.00,560.00,560.00,-,0.00%
30,2015-03-22,560.00,560.00,560.00,560.00,-,0.00%
31,2015-03-23,560.00,560.00,560.00,560.00,-,0.00%
32,2015-03-24,560.00,560.00,560.00,560.00,-,0.00%
33,2015-03-25,560.00,560.00,560.00,560.00,-,0.00%
34,2015-03-26,560.00,560.00,560.00,560.00,-,0.00%
35,2015-03-27,560.00,560.00,560.00,560.00,-,0.00%
36,2015-03-28,560.00,560.00,560.00,560.00,-,0.00%
37,2015-03-29,560.00,560.00,560.00,560.00,-,0.00%
38,2015-03-30,560.00,560.00,560.00,560.00,-,0.00%
39,2015-03-31,560.00,560.00,560.00,560.00,-,0.00%
40,2015-04-01,560.00,560.00,560.00,560.00,-,0.00%
41,2015-04-02,560.00,560.00,560.00,560.00,-,0.00%
42,2015-04-03,560.00,560.00,560.00,560.00,-,0.00%
43,2015-04-04,560.00,560.00,560.00,560.00,-,0.00%
44,2015-04-05,560.00,560.00,560.00,560.00,-,0.00%
45,2015-04-06,560.00,560.00,560.00,560.00,-,0.00%
46,2015-04-07,560.00,560.00,560.00,560.00,-,0.00%
47,2015-04-08,560.00,560.00,560.00,560.00,-,0.00%
48,2015-04-09,560.00,560.00,560.00,560.00,-,0.00%
49,2015-04-10,560.00,560.00,560.00,560.00,-,0.00%
50,2015-04-11,560.00,560.00,560.00,560.00,-,0.00%
51,2015-04-12,560.00,560.00,560.00,560.00,-,0.00%
52,2015-04-13,560.00,560.00,560.00,560.00,-,0.00%
53,2015-04-14,560.00,560.00,560.00,560.00,-,0.00%
54,2015-04-15,560.00,560.00,560.00,560.00,-,0.00%
55,2015-04-16,560.00,560.00,560.00,560.00,-,0.00%
56,2015-04-17,560.00,560.00,560.00,560.00,-,0.00%
57,2015-04-18,560.00,560.00,560.00,560.00,-,0.00%
58,2015-04-19,560.00,560.00,560.00,560.00,-,0.00%
59,2015-04-20,560.00,560.00,560.00,560.00,-,0.00%
60,2015-04-21,560.00,560.00,560.00,560.00,-,0.00%
61,2015-04-22,560.00,560.00,560.00,560.00,-,0.00%
62,2015-04-23,560.00,560.00,560.00,560.00,-,0.00%
63,2015-04-24,560.00,560.00,560.00,560.00,-,0.00%
64,2015-04-25,560.00,560.00,560.00,560.00,-,0.00%
65,2015-04-26,560.00,560.00,560.00,560.00,-,0.00%
66,2015-04-27,560.00,560.00,560.00,560.00,-,0.00%
67,2015-04-28,560.00,560.00,560.00,560.00,-,0.00%
68,2015-04-29,560.00,560.00,560.00,560.00,-,0.00%
69,2015-04-30,560.00,560.00,560.00,560.00,-,0.00%
70,2015-05-01,560.00,560.00,560.00,560.00,-,0.00%
71,2015-05-02,560.00,560.00,560.00,560.00,-,0.00%
72,2015-05-03,560.00,560.00,560.00,560.00,-,0.00%
