,Date,Price,Open,High,Low
0,2015-02-20,"1,161.10","1,169.10","1,172.90","1,154.40"
1,2015-02-21,"1,161.10","1,169.10","1,172.90","1,154.40"
2,2015-02-22,"1,163.10","1,161.80","1,164.30","1,160.30"
3,2015-02-23,"1,162.50","1,163.20","1,170.00","1,153.00"
4,2015-02-24,"1,166.60","1,162.40","1,167.80","1,151.90"
5,2015-02-25,"1,171.50","1,166.30","1,176.40","1,161.80"
6,2015-02-26,"1,175.70","1,171.40","1,190.10","1,168.80"
7,2015-02-27,"1,183.90","1,175.40","1,189.20","1,165.20"
8,2015-02-28,"1,183.90","1,175.40","1,189.20","1,165.20"
9,2015-03-01,"1,182.70","1,180.50","1,184.00","1,180.50"
10,2015-03-02,"1,185.20","1,182.60","1,191.60","1,169.50"
11,2015-03-03,"1,184.30","1,185.00","1,194.40","1,175.30"
12,2015-03-04,"1,181.60","1,184.50","1,186.10","1,164.70"
13,2015-03-05,"1,179.50","1,181.50","1,190.70","1,176.00"
14,2015-03-06,"1,156.90","1,179.30","1,181.20","1,145.40"
15,2015-03-07,"1,156.90","1,179.30","1,181.20","1,145.40"
16,2015-03-08,"1,157.00","1,152.30","1,159.40","1,152.30"
17,2015-03-09,"1,145.60","1,156.80","1,157.30","1,143.00"
18,2015-03-10,"1,129.30","1,145.70","1,147.10","1,126.90"
19,2015-03-11,"1,120.40","1,129.20","1,135.70","1,112.80"
20,2015-03-12,"1,116.50","1,120.50","1,130.20","1,100.10"
21,2015-03-13,"1,113.90","1,116.60","1,123.20","1,112.00"
22,2015-03-14,"1,113.90","1,116.60","1,123.20","1,112.00"
23,2015-03-15,"1,115.50","1,117.20","1,117.20","1,112.70"
24,2015-03-16,"1,107.10","1,115.40","1,120.60","1,104.00"
25,2015-03-17,"1,093.90","1,107.00","1,108.40","1,086.20"
26,2015-03-18,"1,124.70","1,093.80","1,124.90","1,087.30"
27,2015-03-19,"1,122.90","1,124.80","1,132.30","1,111.00"
28,2015-03-20,"1,138.00","1,122.70","1,143.90","1,118.60"
29,2015-03-21,"1,138.00","1,122.70","1,143.90","1,118.60"
30,2015-03-22,"1,140.50","1,136.70","1,140.70","1,136.10"
31,2015-03-23,"1,146.50","1,140.60","1,149.20","1,134.30"
32,2015-03-24,"1,138.20","1,146.60","1,147.60","1,132.10"
33,2015-03-25,"1,142.70","1,138.30","1,151.00","1,134.50"
34,2015-03-26,"1,151.00","1,142.80","1,163.10","1,142.00"
35,2015-03-27,"1,136.60","1,151.00","1,152.40","1,135.10"
36,2015-03-28,"1,136.60","1,151.00","1,152.40","1,135.10"
37,2015-03-29,"1,137.10","1,133.40","1,137.30","1,133.40"
38,2015-03-30,"1,118.40","1,137.20","1,137.30","1,113.40"
39,2015-03-31,"1,138.10","1,118.50","1,143.10","1,113.80"
40,2015-04-01,"1,159.80","1,138.20","1,167.40","1,131.90"
41,2015-04-02,"1,153.90","1,159.90","1,164.50","1,148.60"
42,2015-04-03,"1,153.90","1,159.90","1,164.50","1,148.60"
43,2015-04-04,"1,153.90","1,159.90","1,164.50","1,148.60"
44,2015-04-05,"1,171.30","1,163.90","1,171.30","1,163.30"
45,2015-04-06,"1,172.80","1,171.60","1,186.00","1,170.50"
46,2015-04-07,"1,167.50","1,172.60","1,173.70","1,163.00"
47,2015-04-08,"1,161.70","1,167.60","1,175.50","1,158.80"
48,2015-04-09,"1,154.00","1,161.50","1,164.90","1,152.60"
49,2015-04-10,"1,171.00","1,154.10","1,175.10","1,153.90"
50,2015-04-11,"1,171.00","1,154.10","1,175.10","1,153.90"
51,2015-04-12,"1,172.00","1,170.30","1,172.50","1,169.10"
52,2015-04-13,"1,152.70","1,172.10","1,172.40","1,146.80"
53,2015-04-14,"1,151.50","1,152.60","1,158.50","1,139.20"
54,2015-04-15,"1,162.50","1,151.30","1,162.90","1,144.90"
