Date,Price,Open,High,Low,Vol.,Change %
2018-01-01,"1,705.00","1,705.00","1,705.00","1,705.00",-,0.00%
2018-01-02,"1,705.00","1,705.00","1,705.00","1,705.00",-,0.00%
2018-01-03,"1,705.00","1,705.00","1,705.00","1,705.00",-,0.00%
2018-01-04,"1,690.00","1,690.00","1,690.00","1,690.00",-,-0.88%
2018-01-05,"1,690.00","1,690.00","1,690.00","1,690.00",-,0.00%
2018-01-06,"1,690.00","1,690.00","1,690.00","1,690.00",-,0.00%
2018-01-07,"1,690.00","1,690.00","1,690.00","1,690.00",-,0.00%
2018-01-08,"1,690.00","1,690.00","1,690.00","1,690.00",-,0.00%
2018-01-09,"1,690.00","1,690.00","1,690.00","1,690.00",-,0.00%
2018-01-10,"1,690.00","1,690.00","1,690.00","1,690.00",-,0.00%
2018-01-11,"1,690.00","1,690.00","1,690.00","1,690.00",-,0.00%
2018-01-12,"1,680.00","1,680.00","1,680.00","1,680.00",-,-0.59%
2018-01-13,"1,680.00","1,680.00","1,680.00","1,680.00",-,-0.59%
2018-01-14,"1,680.00","1,680.00","1,680.00","1,680.00",-,-0.59%
2018-01-15,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-16,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-17,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-18,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-19,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-20,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-21,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-22,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-23,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-24,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-25,"1,680.00","1,680.00","1,680.00","1,680.00",-,0.00%
2018-01-26,"1,700.00","1,700.00","1,700.00","1,700.00",-,1.19%
2018-01-27,"1,700.00","1,700.00","1,700.00","1,700.00",-,1.19%
2018-01-28,"1,700.00","1,700.00","1,700.00","1,700.00",-,1.19%
2018-01-29,"1,715.00","1,715.00","1,715.00","1,715.00",-,0.88%
2018-01-30,"1,765.00","1,765.00","1,765.00","1,765.00",-,2.92%
