Date, Open, High, Low, Close
2018-01-01,2689.15,2692.12,2673.61,2673.61
2018-01-02,2683.73,2695.89,2682.36,2695.81
2018-01-03,2697.85,2714.37,2697.77,2713.06
2018-01-04,2719.31,2729.29,2719.07,2723.99
2018-01-05,2731.33,2743.45,2727.92,2743.15
2018-01-06,2731.33,2743.45,2727.92,2743.15
2018-01-07,2731.33,2743.45,2727.92,2743.15
2018-01-08,2742.67,2748.51,2737.6,2747.71
2018-01-09,2751.15,2759.14,2747.86,2751.29
2018-01-10,2745.55,2750.8,2736.06,2748.23
2018-01-11,2752.97,2767.56,2752.78,2767.56
2018-01-12,2770.18,2787.85,2769.64,2786.24
2018-01-13,2770.18,2787.85,2769.64,2786.24
2018-01-14,2770.18,2787.85,2769.64,2786.24
2018-01-15,2770.18,2787.85,2769.64,2786.24
2018-01-16,2798.96,2807.54,2768.64,2776.42
2018-01-17,2784.99,2807.04,2778.38,2802.56
2018-01-18,2802.4,2805.83,2792.56,2798.03
2018-01-19,2802.6,2810.33,2798.08,2810.3
2018-01-20,2802.6,2810.33,2798.08,2810.3
2018-01-21,2802.6,2810.33,2798.08,2810.3
2018-01-22,2809.16,2833.03,2808.12,2832.97
2018-01-23,2835.05,2842.24,2830.59,2839.13
2018-01-24,2845.42,2852.97,2824.81,2837.54
2018-01-25,2846.24,2848.56,2830.94,2839.25
2018-01-26,2847.48,2872.87,2846.18,2872.87
2018-01-27,2847.48,2872.87,2846.18,2872.87
2018-01-28,2847.48,2872.87,2846.18,2872.87
2018-01-29,2867.23,2870.62,2851.48,2853.53
2018-01-30,2832.74,2837.75,2818.27,2822.43
2018-01-31,2832.41,2839.26,2813.04,2823.81
2018-02-01,2816.45,2835.96,2812.7,2821.98
2018-02-02,2808.92,2808.92,2759.97,2762.13
2018-02-03,2808.92,2808.92,2759.97,2762.13
2018-02-04,2808.92,2808.92,2759.97,2762.13
2018-02-05,2741.06,2763.39,2638.17,2648.94
2018-02-06,2614.78,2701.04,2593.07,2695.14
2018-02-07,2690.95,2727.67,2681.33,2681.66
