Date,Price,Open,High,Low
2018-01-01,928.70,925.35,936.90,925.05
2018-01-02,944.70,932.15,945.20,930.60
2018-01-03,950.80,944.95,961.40,939.10
2018-01-04,961.20,950.75,966.10,943.90
2018-01-05,969.70,961.30,970.60,959.05
2018-01-06,969.70,961.30,970.60,959.05
2018-01-07,968.75,967.55,970.30,967.55
2018-01-08,969.70,969.15,974.30,966.65
2018-01-09,963.50,969.65,970.70,960.00
2018-01-10,971.70,963.40,974.70,957.05
2018-01-11,984.45,971.80,985.80,970.80
2018-01-12,994.55,984.30,999.09,984.20
2018-01-13,994.55,984.30,999.09,984.20
2018-01-14,993.05,993.65,993.75,993.05
2018-01-15,997.90,993.00,"1,002.20",987.30
2018-01-16,999.25,997.85,"1,000.20",985.75
2018-01-17,999.10,999.15,"1,008.10",997.20
2018-01-18,"1,001.55",999.20,"1,007.58",996.55
2018-01-19,"1,012.60","1,001.60","1,015.75",999.20
2018-01-20,"1,012.60","1,001.60","1,015.75",999.20
2018-01-21,"1,013.95","1,014.15","1,015.10","1,013.25"
2018-01-22,999.90,"1,014.45","1,019.40",991.55
2018-01-23,"1,006.20",999.85,"1,008.05",989.20
2018-01-24,"1,014.45","1,006.15","1,022.15","1,004.30"
2018-01-25,"1,012.40","1,014.30","1,028.30","1,006.95"
2018-01-26,"1,009.90","1,012.60","1,021.70","1,009.85"
2018-01-27,"1,009.90","1,012.60","1,021.70","1,009.85"
2018-01-28,"1,010.65","1,011.90","1,012.85","1,010.15"
2018-01-29,"1,006.10","1,010.55","1,013.30","1,001.50"
2018-01-30,997.05,"1,006.15","1,008.25",991.30
2018-01-31,"1,001.55",997.00,"1,006.30",994.95
2018-02-01,"1,005.05","1,001.45","1,008.55",991.60
2018-02-02,990.10,"1,005.00","1,006.20",986.75
2018-02-03,990.10,"1,005.00","1,006.20",986.75
2018-02-04,989.10,989.95,991.90,986.75
2018-02-05,990.70,989.05,996.40,986.15
2018-02-06,989.65,990.80,998.65,983.60
2018-02-07,981.30,989.60,993.60,976.90
2018-02-08,976.45,981.10,981.65,969.90
2018-02-09,965.65,976.30,977.90,958.15
2018-02-10,965.65,976.30,977.90,958.15
2018-02-11,968.15,965.25,968.50,965.10
2018-02-12,970.80,968.10,973.65,960.65
2018-02-13,975.80,970.95,978.40,970.10
2018-02-14,997.10,974.20,999.80,965.00
2018-02-15,"1,001.85",994.24,"1,007.85",989.75
2018-02-16,"1,005.00","1,003.50","1,015.20",997.50
2018-02-17,"1,005.00","1,003.50","1,015.20",997.50
2018-02-18,"1,005.30","1,007.00","1,007.65","1,005.15"
2018-02-19,"1,007.50","1,004.00","1,018.60","1,004.00"
2018-02-20,"1,000.40","1,003.70","1,010.70",994.70
2018-02-21,989.50,"1,002.20","1,004.10",987.00
2018-02-22,997.25,993.15,"1,002.36",983.75
2018-02-23,996.85,994.29,"1,000.65",986.05
2018-02-24,996.85,994.29,"1,000.65",986.05
2018-02-25,994.30,994.55,996.50,994.00
2018-02-26,"1,000.20",995.90,"1,007.50",990.10
2018-02-27,983.50,"1,000.00","1,002.70",976.60
2018-02-28,983.60,983.50,987.30,973.10
2018-03-01,966.80,983.50,984.70,951.10
2018-03-02,966.00,969.86,972.55,959.25
2018-03-03,966.00,969.86,972.55,959.25
2018-03-04,968.50,967.70,968.50,965.55
2018-03-05,961.55,966.65,970.75,951.05
2018-03-06,969.35,961.65,974.75,954.55
2018-03-07,952.85,969.35,972.15,946.25
2018-03-08,952.60,953.00,957.70,941.60
2018-03-09,965.20,952.50,965.50,944.10
2018-03-10,965.20,952.50,965.50,944.10
2018-03-11,964.85,963.95,965.60,963.85
2018-03-12,963.25,965.05,967.55,952.35
2018-03-13,965.75,962.75,974.65,960.25
2018-03-14,961.00,966.50,975.70,957.00
2018-03-15,954.90,961.90,964.70,947.60
2018-03-16,948.00,958.10,962.90,945.00
2018-03-17,948.00,958.10,962.90,945.00
2018-03-18,948.75,949.30,949.55,948.40
2018-03-19,953.60,949.70,956.80,937.10
