date,Return
2018-01-01,31
2018-01-02,38
2018-01-03,38
2018-01-04,36
2018-01-05,35
2018-01-06,33
2018-01-07,31
2018-01-08,36
2018-01-09,34
2018-01-10,33
2018-01-11,39
2018-01-12,32
2018-01-13,29
2018-01-14,25
2018-01-15,26
2018-01-16,50
2018-01-17,68
2018-01-18,47
2018-01-19,34
2018-01-20,29
2018-01-21,27
2018-01-22,31
2018-01-23,30
2018-01-24,27
2018-01-25,27
2018-01-26,27
2018-01-27,22
2018-01-28,20
2018-01-29,21
2018-01-30,25
2018-01-31,26
2018-02-01,31
2018-02-02,43
2018-02-03,29
2018-02-04,25
2018-02-05,43
2018-02-06,56
2018-02-07,35
2018-02-08,29
2018-02-09,26
2018-02-10,21
2018-02-11,20
2018-02-12,21
2018-02-13,19
2018-02-14,20
2018-02-15,21
2018-02-16,19
2018-02-17,18
2018-02-18,19
2018-02-19,18
2018-02-20,20
2018-02-21,20
2018-02-22,18
2018-02-23,16
2018-02-24,14
2018-02-25,13
2018-02-26,14
2018-02-27,16
2018-02-28,14
2018-03-01,13
2018-03-02,14
2018-03-03,13
2018-03-04,11
2018-03-05,13
2018-03-06,13
2018-03-07,14
2018-03-08,14
2018-03-09,17
2018-03-10,12
2018-03-11,12
2018-03-12,13
2018-03-13,13
2018-03-14,14
2018-03-15,16
2018-03-16,14
2018-03-17,12
2018-03-18,15
2018-03-19,14
2018-03-20,13
2018-03-21,13
2018-03-22,12
2018-03-23,12
2018-03-24,10
2018-03-25,10
2018-03-26,14
2018-03-27,12
2018-03-28,12
2018-03-29,14
2018-03-30,15
2018-03-31,11
2018-04-01,12
2018-04-02,13
2018-04-03,12
2018-04-04,12
2018-04-05,12
2018-04-06,13
2018-04-07,10
2018-04-08,9
2018-04-09,12
2018-04-10,11
2018-04-11,11
2018-04-12,12
2018-04-13,13
2018-04-14,9
2018-04-15,9
2018-04-16,10
2018-04-17,10
2018-04-18,10
2018-04-19,10
2018-04-20,11
2018-04-21,9
2018-04-22,9
2018-04-23,11
2018-04-24,12
2018-04-25,11
2018-04-26,10
2018-04-27,9
2018-04-28,8
2018-04-29,8
2018-04-30,9
2018-05-01,8
2018-05-02,8
2018-05-03,10
2018-05-04,9
2018-05-05,9
2018-05-06,8
2018-05-07,9
2018-05-08,9
2018-05-09,9
2018-05-10,8
2018-05-11,10
2018-05-12,8
2018-05-13,7
2018-05-14,9
2018-05-15,8
2018-05-16,7
2018-05-17,8
2018-05-18,8
2018-05-19,6
2018-05-20,6
2018-05-21,8
2018-05-22,8
2018-05-23,10
2018-05-24,9
2018-05-25,8
2018-05-26,6
2018-05-27,6
2018-05-28,8
2018-05-29,7
2018-05-30,7
2018-05-31,6
2018-06-01,6
2018-06-02,6
2018-06-03,6
2018-06-04,6
2018-06-05,6
2018-06-06,6
2018-06-07,6
2018-06-08,6
2018-06-09,6
2018-06-10,8
2018-06-11,11
2018-06-12,9
2018-06-13,10
2018-06-14,9
2018-06-15,6
2018-06-16,6
2018-06-17,6
2018-06-18,6
2018-06-19,6
2018-06-20,6
2018-06-21,6
2018-06-22,7
2018-06-23,6
2018-06-24,8
2018-06-25,7
2018-06-26,6
2018-06-27,6
2018-06-28,6
2018-06-29,8
2018-06-30,8
2018-07-01,6
2018-07-02,6
2018-07-03,6
2018-07-04,6
2018-07-05,6
2018-07-06,6
2018-07-07,5
2018-07-08,6
2018-07-09,6
2018-07-10,6
2018-07-11,5
2018-07-12,6
2018-07-13,6
2018-07-14,5
2018-07-15,5
2018-07-16,6
2018-07-17,9
2018-07-18,10
2018-07-19,8
2018-07-20,8
2018-07-21,6
2018-07-22,6
2018-07-23,8
2018-07-24,99
2018-07-25,79
2018-07-26,65
2018-07-27,63
2018-07-28,53
2018-07-29,51
2018-07-30,59
2018-07-31,58
2018-08-01,58
2018-08-02,53
2018-08-03,55
2018-08-04,54
2018-08-05,51
2018-08-06,54
2018-08-07,56
2018-08-08,74
2018-08-09,61
2018-08-10,56
2018-08-11,58
2018-08-12,51
2018-08-13,58
2018-08-14,77
2018-08-15,63
2018-08-16,55
2018-08-17,54
2018-08-18,49
2018-08-19,46
2018-08-20,51
2018-08-21,54
2018-08-22,59
2018-08-23,52
2018-08-24,50
2018-08-25,48
2018-08-26,45
2018-08-27,49
2018-08-28,62
2018-08-29,55
2018-08-30,53
2018-08-31,52
2018-09-01,51
2018-09-02,51
2018-09-03,51
2018-09-04,55
2018-09-05,69
2018-09-06,82
2018-09-07,59
2018-09-08,54
2018-09-09,49
2018-09-10,52
2018-09-11,54
2018-09-12,57
2018-09-13,55
2018-09-14,53
2018-09-15,57
2018-09-16,53
2018-09-17,50
2018-09-18,49
2018-09-19,49
2018-09-20,48
2018-09-21,54
2018-09-22,46
2018-09-23,46
2018-09-24,48
2018-09-25,54
2018-09-26,50
2018-09-27,48
2018-09-28,46
2018-09-29,44
2018-09-30,43
2018-10-01,43
2018-10-02,46
2018-10-03,45
2018-10-04,45
2018-10-05,44
2018-10-06,42
2018-10-07,39
2018-10-08,46
2018-10-09,45
2018-10-10,46
2018-10-11,59
2018-10-12,48
2018-10-13,43
2018-10-14,43
2018-10-15,53
2018-10-16,48
2018-10-17,47
2018-10-18,45
2018-10-19,44
2018-10-20,42
2018-10-21,40
2018-10-22,43
2018-10-23,44
2018-10-24,44
2018-10-25,44
2018-10-26,42
2018-10-27,38
2018-10-28,37
2018-10-29,43
2018-10-30,44
2018-10-31,45
2018-11-01,44
2018-11-02,43
2018-11-03,39
2018-11-04,42
2018-11-05,44
2018-11-06,45
2018-11-07,44
2018-11-08,42
2018-11-09,42
2018-11-10,38
2018-11-11,36
2018-11-12,41
2018-11-13,42
2018-11-14,69
2018-11-15,83
2018-11-16,55
2018-11-17,48
2018-11-18,46
2018-11-19,83
2018-11-20,122
2018-11-21,94
2018-11-22,62
2018-11-23,70
2018-11-24,60
2018-11-25,98
2018-11-26,98
2018-11-27,91
2018-11-28,81
2018-11-29,68
2018-11-30,61
2018-12-01,53
2018-12-02,47
2018-12-03,60
2018-12-04,59
2018-12-05,58
2018-12-06,61
2018-12-07,89
2018-12-08,60
2018-12-09,53
2018-12-10,58
2018-12-11,61
2018-12-12,65
2018-12-13,56
2018-12-14,59
2018-12-15,55
2018-12-16,51
2018-12-17,65
2018-12-18,63
2018-12-19,70
2018-12-20,73
2018-12-21,60
2018-12-22,52
2018-12-23,52
2018-12-24,60
2018-12-25,57
2018-12-26,53
2018-12-27,52
2018-12-28,52
2018-12-29,50
2018-12-30,46
2018-12-31,46
2019-01-01,46
2019-01-02,50
2019-01-03,49
2019-01-04,49
2019-01-05,45
2019-01-06,45
2019-01-07,48
2019-01-08,47
2019-01-09,48
2019-01-10,52
2019-01-11,49
2019-01-12,43
2019-01-13,44
2019-01-14,48
2019-01-15,45
2019-01-16,44
2019-01-17,43
2019-01-18,40
2019-01-19,41
2019-01-20,39
2019-01-21,41
2019-01-22,41
2019-01-23,41
2019-01-24,42
2019-01-25,40
2019-01-26,37
2019-01-27,37
2019-01-28,43
2019-01-29,42
2019-01-30,40
2019-01-31,39
2019-02-01,39
2019-02-02,37
2019-02-03,36
2019-02-04,40
2019-02-05,47
2019-02-06,44
2019-02-07,42
2019-02-08,45
2019-02-09,42
2019-02-10,39
2019-02-11,41
2019-02-12,40
2019-02-13,40
2019-02-14,38
2019-02-15,37
2019-02-16,35
2019-02-17,35
2019-02-18,46
2019-02-19,49
2019-02-20,45
2019-02-21,43
2019-02-22,43
2019-02-23,46
2019-02-24,51
2019-02-25,45
2019-02-26,41
2019-02-27,39
2019-02-28,40
2019-03-01,38
2019-03-02,35
2019-03-03,36
2019-03-04,39
2019-03-05,41
2019-03-06,40
2019-03-07,41
2019-03-08,39
2019-03-09,38
2019-03-10,36
2019-03-11,39
2019-03-12,39
2019-03-13,37
2019-03-14,36
2019-03-15,36
2019-03-16,38
2019-03-17,35
2019-03-18,39
2019-03-19,40
2019-03-20,42
2019-03-21,40
2019-03-22,40
2019-03-23,36
2019-03-24,34
2019-03-25,38
2019-03-26,37
2019-03-27,41
2019-03-28,37
2019-03-29,41
2019-03-30,38
2019-03-31,39
2019-04-01,5
2019-04-02,11
2019-04-03,12
2019-04-04,9
2019-04-05,7
2019-04-06,6
2019-04-07,6
2019-04-08,8
2019-04-09,6
2019-04-10,6
2019-04-11,7
2019-04-12,6
2019-04-13,5
2019-04-14,5
2019-04-15,5
2019-04-16,5
2019-04-17,5
2019-04-18,6
2019-04-19,5
2019-04-20,5
2019-04-21,5
2019-04-22,5
2019-04-23,8
2019-04-24,7
2019-04-25,6
2019-04-26,7
2019-04-27,7
2019-04-28,5
2019-04-29,5
2019-04-30,5
2019-05-01,5
2019-05-02,5
2019-05-03,7
2019-05-04,5
2019-05-05,5
2019-05-06,5
2019-05-07,7
2019-05-08,7
2019-05-09,8
2019-05-10,9
2019-05-11,12
2019-05-12,13
2019-05-13,15
2019-05-14,16
2019-05-15,14
2019-05-16,13
2019-05-17,13
2019-05-18,9
2019-05-19,10
2019-05-20,10
2019-05-21,10
2019-05-22,10
2019-05-23,9
2019-05-24,8
2019-05-25,7
2019-05-26,8
2019-05-27,13
2019-05-28,11
2019-05-29,10
2019-05-30,10
2019-05-31,10
2019-06-01,8
2019-06-02,8
2019-06-03,9
2019-06-04,10
2019-06-05,8
2019-06-06,8
2019-06-07,8
2019-06-08,7
2019-06-09,7
2019-06-10,7
2019-06-11,8
2019-06-12,8
2019-06-13,7
2019-06-14,8
2019-06-15,8
2019-06-16,10
2019-06-17,11
2019-06-18,11
2019-06-19,9
2019-06-20,10
2019-06-21,13
2019-06-22,20
2019-06-23,14
2019-06-24,14
2019-06-25,16
2019-06-26,27
2019-06-27,23
2019-06-28,18
2019-06-29,14
2019-06-30,12
2019-07-01,14
2019-07-02,14
2019-07-03,13
2019-07-04,12
2019-07-05,11
2019-07-06,9
2019-07-07,8
2019-07-08,10
2019-07-09,13
2019-07-10,14
2019-07-11,13
2019-07-12,12
2019-07-13,9
2019-07-14,9
2019-07-15,12
2019-07-16,13
2019-07-17,13
2019-07-18,12
2019-07-19,10
2019-07-20,8
2019-07-21,8
2019-07-22,9
2019-07-23,9
2019-07-24,10
2019-07-25,9
2019-07-26,8
2019-07-27,8
2019-07-28,7
2019-07-29,8
2019-07-30,9
2019-07-31,8
2019-08-01,8
2019-08-02,9
2019-08-03,8
2019-08-04,7
2019-08-05,13
2019-08-06,12
2019-08-07,11
2019-08-08,10
2019-08-09,9
2019-08-10,8
2019-08-11,7
2019-08-12,9
2019-08-13,9
2019-08-14,10
2019-08-15,10
2019-08-16,9
2019-08-17,6
2019-08-18,7
2019-08-19,8
2019-08-20,8
2019-08-21,9
2019-08-22,8
2019-08-23,8
2019-08-24,7
2019-08-25,6
2019-08-26,7
2019-08-27,8
2019-08-28,8
2019-08-29,9
2019-08-30,64
2019-08-31,105
2019-09-01,97
2019-09-02,83
2019-09-03,79
2019-09-04,89
2019-09-05,89
2019-09-06,72
2019-09-07,46
2019-09-08,44
2019-09-09,43
2019-09-10,41
2019-09-11,44
2019-09-12,44
2019-09-13,43
2019-09-14,44
2019-09-15,44
2019-09-16,40
2019-09-17,41
2019-09-18,39
2019-09-19,39
2019-09-20,36
2019-09-21,39
2019-09-22,37
2019-09-23,34
2019-09-24,32
2019-09-25,31
2019-09-26,29
2019-09-27,11
2019-09-28,7
2019-09-29,6
2019-09-30,8
2019-10-01,7
2019-10-02,7
2019-10-03,6
2019-10-04,5
2019-10-05,5
2019-10-06,5
2019-10-07,7
2019-10-08,6
2019-10-09,6
2019-10-10,7
2019-10-11,6
2019-10-12,5
2019-10-13,5
2019-10-14,5
2019-10-15,6
2019-10-16,6
2019-10-17,5
2019-10-18,5
2019-10-19,5
2019-10-20,5
2019-10-21,5
2019-10-22,6
2019-10-23,8
2019-10-24,7
2019-10-25,8
2019-10-26,12
2019-10-27,8
2019-10-28,9
2019-10-29,8
2019-10-30,7
2019-10-31,6
2019-11-01,6
2019-11-02,5
2019-11-03,5
2019-11-04,6
2019-11-05,6
2019-11-06,6
2019-11-07,5
2019-11-08,6
2019-11-09,5
2019-11-10,5
2019-11-11,5
2019-11-12,5
2019-11-13,5
2019-11-14,5
2019-11-15,5
2019-11-16,5
2019-11-17,5
2019-11-18,5
2019-11-19,6
