Date, Open, High, Low, Close
2018-01-01,24849.63,24871.66,24719.22,24719.22
2018-01-02,24809.35,24864.19,24741.7,24824.01
2018-01-03,24850.45,24941.92,24825.55,24922.68
2018-01-04,24964.86,25105.96,24963.27,25075.13
2018-01-05,25114.92,25299.79,25112.01,25295.87
2018-01-06,25114.92,25299.79,25112.01,25295.87
2018-01-07,25114.92,25299.79,25112.01,25295.87
2018-01-08,25308.4,25311.99,25235.41,25283.0
2018-01-09,25312.05,25439.78,25308.41,25385.8
2018-01-10,25348.13,25404.92,25256.99,25369.13
2018-01-11,25398.6,25575.42,25396.19,25574.73
2018-01-12,25638.39,25810.43,25633.08,25803.19
2018-01-13,25638.39,25810.43,25633.08,25803.19
2018-01-14,25638.39,25810.43,25633.08,25803.19
2018-01-15,25638.39,25810.43,25633.08,25803.19
2018-01-16,25987.62,26086.12,25702.99,25792.86
2018-01-17,25910.78,26130.45,25865.02,26115.65
2018-01-18,26149.55,26153.42,25947.32,26017.81
2018-01-19,25987.35,26071.72,25942.83,26071.72
2018-01-20,25987.35,26071.72,25942.83,26071.72
2018-01-21,25987.35,26071.72,25942.83,26071.72
2018-01-22,26025.32,26215.23,25974.65,26214.6
2018-01-23,26214.87,26246.19,26143.9,26210.81
2018-01-24,26282.07,26392.8,26106.94,26252.12
2018-01-25,26313.06,26458.25,26259.72,26392.79
2018-01-26,26466.74,26616.71,26425.35,26616.71
2018-01-27,26466.74,26616.71,26425.35,26616.71
2018-01-28,26466.74,26616.71,26425.35,26616.71
2018-01-29,26584.28,26608.9,26435.34,26439.48
2018-01-30,26198.45,26256.99,26028.42,26076.89
2018-01-31,26268.17,26338.03,26050.98,26149.39
2018-02-01,26083.04,26306.7,26014.44,26186.71
2018-02-02,26061.79,26061.79,25490.66,25520.96
2018-02-03,26061.79,26061.79,25490.66,25520.96
2018-02-04,26061.79,26061.79,25490.66,25520.96
2018-02-05,25337.87,25520.53,23923.88,24345.75
2018-02-06,24085.17,24946.23,23778.74,24912.77
2018-02-07,24892.87,25293.96,24785.44,24893.35
2018-02-08,24902.3,24903.68,23849.23,23860.46
2018-02-09,23992.67,24382.14,23360.29,24190.9
2018-02-10,23992.67,24382.14,23360.29,24190.9
2018-02-11,23992.67,24382.14,23360.29,24190.9
2018-02-12,24337.76,24765.16,24290.48,24601.27
2018-02-13,24540.33,24705.72,24421.03,24640.45
2018-02-14,24535.82,24925.95,24490.36,24893.49
2018-02-15,25047.82,25203.95,24809.42,25200.37
2018-02-16,25165.94,25432.42,25149.26,25219.38
2018-02-17,25165.94,25432.42,25149.26,25219.38
2018-02-18,25165.94,25432.42,25149.26,25219.38
2018-02-19,25219.38,25219.38,25219.38,25219.38
2018-02-20,25124.91,25179.01,24884.19,24964.75
2018-02-21,24988.06,25267.99,24792.99,24797.78
2018-02-22,24855.41,25156.72,24854.83,24962.48
2018-02-23,25050.51,25313.91,25028.73,25309.99
2018-02-24,25050.51,25313.91,25028.73,25309.99
2018-02-25,25050.51,25313.91,25028.73,25309.99
2018-02-26,25403.35,25732.8,25398.56,25709.27
2018-02-27,25735.78,25800.35,25407.83,25410.03
2018-02-28,25485.15,25576.15,25022.42,25029.2
2018-03-01,25024.04,25185.35,24442.56,24608.98
2018-03-02,24394.91,24592.46,24217.76,24538.06
2018-03-03,24394.91,24592.46,24217.76,24538.06
